periodo,tipoEntidad,entidad,clasificacionRiesgo,tipoCartera,cantidadPlastico,cantidadCredito,deuda,tasaPorDeuda,tasaPromedioPonderado,deudaCapital,deudaVencida,deudaVencidaDe31A90Dias,valorDesembolso,valorGarantia,valorProvisionCapitalYRendimiento
2020-01,BANCOS MÚLTIPLES,BANCAMERICA,D1,Créditos Hipotecarios,0,2,2770755.47,36823498.92,13.29005728535113,2626741.75,2647112.73,0.0,0.0,2697214.27,470316.83
2020-01,BANCOS MÚLTIPLES,BANRESERVAS,A,Tarjetas de créditos,489926,528874,8885113268.099997,509360637439.1633,57.32742195509293,8685395569.860014,0.0,0.0,4433621008.130002,0.0,88851345.06999995
2020-01,BANCOS MÚLTIPLES,BHD,C,Tarjetas de créditos,2787,2974,102317497.1300001,6048135276.959993,59.11144668907902,88506895.01000004,86853669.85000005,0.0,1733964.77,0.0,18040040.44999999
2020-01,BANCOS MÚLTIPLES,BANESCO,B,Créditos de consumo,0,831,107977983.67,2100175522.6935,19.45003463957997,104300508.89,3317198.2,3317198.2,97193.76,20051045.34,2873574.969999999
2020-01,BANCOS MÚLTIPLES,BANCAMERICA,D2,Tarjetas de créditos,172,198,13228233.12,672212597.22,50.81650671877485,11658824.29,13131481.92,0.0,0.0,53132.43,7463655.859999999
2020-01,BANCOS MÚLTIPLES,BANESCO,A,Créditos de consumo,0,24849,2720955604.690002,53355132260.79769,19.60896832305223,2692508898.259997,0.0,0.0,129976521.9,416396244.5700001,27209825.63000001
2020-01,BANCOS MÚLTIPLES,BANCAMERICA,E,Créditos comerciales,7,35,22260016.61,526627073.93,23.65798207416522,19537127.21,11390960.32,0.0,0.0,0.0,21287800.0
2020-01,BANCOS MÚLTIPLES,BANCAMERICA,A,Créditos de consumo,0,3736,300052068.3700001,5574695526.7964,18.5790938122184,296846217.8600001,0.0,0.0,6958615.110000001,46183325.12,3004269.96
2020-01,BANCOS MÚLTIPLES,BANCAMERICA,E,Créditos de consumo,0,246,26377927.15000001,579841556.831,21.98207438869964,24366973.9,26260253.58000001,0.0,0.0,4674480.57,21734605.09
2020-01,BANCOS MÚLTIPLES,BANRESERVAS,B,Créditos de consumo,0,22167,1780990061.740002,34204703224.23061,19.20544306171653,1736787694.960002,186362318.2700001,186362318.2700001,13161603.0,332252208.8200002,51689582.72999997
2020-01,BANCOS MÚLTIPLES,BHD,D1,Créditos de consumo,0,6100,977716055.7199996,18410970664.6995,18.83059049402793,934660907.3199991,515613783.0000004,8457253.340000002,21259519.62,83055219.30999997,348059165.1799999
2020-01,BANCOS MÚLTIPLES,BANESCO,C,Créditos comerciales,5,70,1368148771.9,10999391309.6497,8.039616403978076,1354730993.08,3518699.72,3518699.72,600214.29,1268522750.11,32778740.79000001
2020-01,BANCOS MÚLTIPLES,BANESCO,C,Tarjetas de créditos,673,835,32772263.21,1955616142.98,59.67290481126342,27841146.43,30811427.37000001,0.0,3910.56,0.0,5606450.070000001
2020-01,BANCOS MÚLTIPLES,BANESCO,A,Tarjetas de créditos,32772,39110,1192592774.77,70278786851.84998,58.92940854467589,1156388690.900001,0.0,0.0,357982066.2400002,7750964.199999999,11925931.32999999
